,link,date,judge,decision
151,https://www.nycourts.gov/reporter/motions/2024/2024_97151.htm,2024-02-22,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
152,https://www.nycourts.gov/reporter/motions/2024/2024_97152.htm,2024-02-26,"Cannataro, J.",Disposition: Applications for Criminal Leave to appeal denied
153,https://www.nycourts.gov/reporter/motions/2024/2024_97153.htm,2024-02-29,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
154,https://www.nycourts.gov/reporter/motions/2024/2024_97154.htm,2024-02-23,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
155,https://www.nycourts.gov/reporter/motions/2024/2024_97155.htm,2024-02-22,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
156,https://www.nycourts.gov/reporter/motions/2024/2024_97156.htm,2024-02-09,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied
157,https://www.nycourts.gov/reporter/motions/2024/2024_97157.htm,2024-02-21,"Wilson, Ch. J.",Disposition: Applications for Criminal Leave to appeal granted
158,https://www.nycourts.gov/reporter/motions/2024/2024_97158.htm,2024-02-09,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied
159,https://www.nycourts.gov/reporter/motions/2024/2024_97159.htm,2024-02-29,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
160,https://www.nycourts.gov/reporter/motions/2024/2024_97160.htm,2024-02-20,"Halligan, J.",Disposition: Applications for Criminal Leave to appeal denied
161,https://www.nycourts.gov/reporter/motions/2024/2024_97161.htm,2024-02-01,"Halligan, J.",Disposition: Applications for Criminal Leave to appeal denied
162,https://www.nycourts.gov/reporter/motions/2024/2024_97162.htm,2024-02-29,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
163,https://www.nycourts.gov/reporter/motions/2024/2024_97163.htm,2024-02-23,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
164,https://www.nycourts.gov/reporter/motions/2024/2024_97164.htm,2024-02-05,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied
165,https://www.nycourts.gov/reporter/motions/2024/2024_97165.htm,2024-02-28,"Halligan, J.",Disposition: Applications for Criminal Leave to appeal denied
166,https://www.nycourts.gov/reporter/motions/2024/2024_97166.htm,2024-02-29,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
